Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extracao de Links,247,0,3400.0,3416.5938531012257,1693.7369120005314,10005.565260000367,2956.6437246963565,2.475902746512625,0.0,3400,3400,3500,3500,5000,6800,6900,6900,10000,10000,10000
,Aggregated,247,0,3400.0,3416.5938531012257,1693.7369120005314,10005.565260000367,2956.6437246963565,2.475902746512625,0.0,3400,3400,3500,3500,5000,6800,6900,6900,10000,10000,10000
