Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extracao de Links,4208,0,1800.0,2424.1797305629907,1684.7438300001158,14008.705195999937,2956.463878326996,28.202940095054874,0.0,1800,2400,2700,2900,3800,5100,5800,6800,8400,14000,14000
,Aggregated,4208,0,1800.0,2424.1797305629907,1684.7438300001158,14008.705195999937,2956.463878326996,28.202940095054874,0.0,1800,2400,2700,2900,3800,5100,5800,6800,8400,14000,14000
