Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extracao de Links,4828,0,1800.0,2505.6593647218356,1681.5815850000035,10004.83429399992,2956.4739022369513,28.669295616331542,0.0,1800,2400,2900,3400,4200,5700,5800,6700,8400,10000,10000
,Aggregated,4828,0,1800.0,2505.6593647218356,1681.5815850000035,10004.83429399992,2956.4739022369513,28.669295616331542,0.0,1800,2400,2900,3400,4200,5700,5800,6700,8400,10000,10000
