Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extracao de Links,30776,257,1900.0,5463.128888531084,1684.8154700001032,370725.1180330004,2931.7349558097217,47.62976044182658,0.3977400712746761,1900,2700,3400,3500,4100,5000,8200,135000,326000,344000,371000
,Aggregated,30776,257,1900.0,5463.128888531084,1684.8154700001032,370725.1180330004,2931.7349558097217,47.62976044182658,0.3977400712746761,1900,2700,3400,3500,4100,5000,8200,135000,326000,344000,371000
