Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extracao de Links,4295,0,1800.0,2430.4141783341097,1684.6040350001203,11500.475302000268,2956.4854481955763,28.545306913011395,0.0,1800,2500,2700,2900,3700,4700,5700,6800,8400,12000,12000
,Aggregated,4295,0,1800.0,2430.4141783341097,1684.6040350001203,11500.475302000268,2956.4854481955763,28.545306913011395,0.0,1800,2500,2700,2900,3700,4700,5700,6800,8400,12000,12000
